  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
***********    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.000333    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.000667    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.001033    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.001437    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.001880    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.002368    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.002905    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.003496    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.004145    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.004860    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.005646    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.006510    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.007461    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.008508    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.009658    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.010924    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.012317    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.013848    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.015533    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.017386    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.019425    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.021667    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.024134    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.026848    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.029832    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.033116    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.036727    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.040700    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.045070    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
